"Census.Tract","percent_households"
"Census Tract 4503",2.61780104712042
"Census Tract 4601",6.22950819672131
"Census Tract 4602",1.80995475113122
"Census Tract 4603.01",3.6036036036036
"Census Tract 4603.02",2.58620689655172
"Census Tract 4604",3.08988764044944
"Census Tract 4605",2.08695652173913
"Census Tract 4608",0.867052023121387
"Census Tract 4610",5.55555555555556
"Census Tract 4701",1.54440154440154
"Census Tract 4801",1.60642570281124
"Census Tract 4802",0.87719298245614
"Census Tract 4803",3.79746835443038
"Census Tract 4804",1.54639175257732
"Census Tract 4805",1.92837465564738
"Census Tract 4902",1.69971671388102
"Census Tract 4905",2.47524752475248
"Census Tract 4906",1.69491525423729
"Census Tract 4907",2.24719101123596
"Census Tract 4908",2.68817204301075
"Census Tract 4909.01",2.8328611898017
"Census Tract 4909.02",1.38067061143984
"Census Tract 4910",2.22222222222222
"Census Tract 4911",1.64609053497942
"Census Tract 4912",2.20264317180617
"Census Tract 4913",3.68098159509202
"Census Tract 4914",0.847457627118644
"Census Tract 5001",2.42587601078167
"Census Tract 5002",4.41176470588235
"Census Tract 5003",2.51046025104602
"Census Tract 5101",2.38568588469185
"Census Tract 5102",0.833333333333333
"Census Tract 5103",2.24719101123596
"Census Tract 5201",0.36231884057971
"Census Tract 5202",4.02542372881356
"Census Tract 5203",0.843881856540084
"Census Tract 5204",1.24804992199688
"Census Tract 5205",0.98159509202454
"Census Tract 5206",1.75438596491228
"Census Tract 5301",1.67364016736402
"Census Tract 5302",2.97029702970297
"Census Tract 5303",2.12765957446809
"Census Tract 5304",0
"Census Tract 5305.01",1.17924528301887
"Census Tract 5305.02",3.62694300518135
"Census Tract 5305.03",2.0109689213894
"Census Tract 5306",1.99203187250996
"Census Tract 5401.01",2.69058295964126
"Census Tract 5401.02",2.0979020979021
"Census Tract 5501",0.750625521267723
"Census Tract 5502",0.355871886120996
"Census Tract 5601",2.76243093922652
"Census Tract 5602",1.47783251231527
"Census Tract 5603",1.04529616724739
"Census Tract 5604",1.32890365448505
"Census Tract 5607",1.83028286189684
"Census Tract 5608",0.827966881324747
"Census Tract 5609",1.27388535031847
"Census Tract 5610",1.32275132275132
"Census Tract 5611",1.29533678756477
"Census Tract 5701",1.4218009478673
"Census Tract 5702",1.0958904109589
"Census Tract 5703",2.22007722007722
"Census Tract 5704",1.09090909090909
"Census Tract 5705",1.38568129330254
"Census Tract 5801",1.66666666666667
"Census Tract 5802",1.73076923076923
"Census Tract 5803",0.763358778625954
"Census Tract 5804",1.27877237851662
"Census Tract 5805.01",1.94410692588092
"Census Tract 5805.02",1.71037628278221
"Census Tract 5806",1.3126491646778
"Census Tract 5807",0.858369098712446
"Census Tract 5808",3.11526479750779
"Census Tract 5905",0.857142857142857
"Census Tract 5906",2.04778156996587
"Census Tract 5907",1.50375939849624
"Census Tract 6004",1.31752305665349
"Census Tract 6006",2.33009708737864
"Census Tract 6007",1.40562248995984
"Census Tract 6009",3.25077399380805
"Census Tract 6103",2.83950617283951
"Census Tract 6104",2.34113712374582
"Census Tract 6108",1.49812734082397
"Census Tract 6112",1.17302052785924
"Census Tract 6113",1.42276422764228
"Census Tract 6114",2.58780036968577
"Census Tract 6115",0.795228628230616
"Census Tract 6116",3.13725490196078
"Census Tract 6117",0.813008130081301
"Census Tract 6118",1.92307692307692
"Census Tract 6119",3.01507537688442
"Census Tract 6120",2.87769784172662
"Census Tract 6121",0
"Census Tract 6122",2.9940119760479
"Census Tract 6201",2.01072386058981
"Census Tract 6202",1.77215189873418
"Census Tract 6203",0.760456273764259
"Census Tract 6204",0.589622641509434
"Census Tract 6303",1.29366106080207
"Census Tract 6304",0.896057347670251
"Census Tract 6305",0.8859357696567
"Census Tract 6306",1.84049079754601
"Census Tract 6308",1.34575569358178
"Census Tract 6309",1.84210526315789
"Census Tract 6401",2.3696682464455
"Census Tract 6403",1.37651821862348
"Census Tract 6404",1.69491525423729
"Census Tract 6405",0.696378830083565
"Census Tract 6406",1.32743362831858
"Census Tract 6407",2.31788079470199
"Census Tract 6408",0.33112582781457
"Census Tract 6501",1.85185185185185
"Census Tract 6502",1.2531328320802
"Census Tract 6503.01",0.910931174089069
"Census Tract 6503.02",0.855920114122682
"Census Tract 6504",1.0064043915828
"Census Tract 6505",1.29124820659971
"Census Tract 6603.01",0.485436893203884
"Census Tract 6603.02",0.810810810810811
"Census Tract 6604",0.930232558139535
"Census Tract 6605",0.954979536152797
"Census Tract 6606",2.0671834625323
"Census Tract 6607",3.86473429951691
"Census Tract 6608",1.39771283354511
"Census Tract 6609",2.6431718061674
"Census Tract 6610",1.47710487444609
"Census Tract 6611",1.32743362831858
"Census Tract 6701",4.46428571428571
"Census Tract 6702",2.10526315789474
"Census Tract 6703",0.78740157480315
"Census Tract 6704",5.66037735849057
"Census Tract 6705",0
"Census Tract 6706",4.34782608695652
"Census Tract 6707",1.01010101010101
"Census Tract 6708",4.03225806451613
"Census Tract 6709",3.96039603960396
"Census Tract 6711",5.40540540540541
"Census Tract 6712",3.15789473684211
"Census Tract 6713",4.16666666666667
"Census Tract 6714",0
"Census Tract 6715",2.38095238095238
"Census Tract 6716",1.32450331125828
"Census Tract 6718",1.05263157894737
"Census Tract 6719",4.71698113207547
"Census Tract 6720",2.59365994236311
"Census Tract 6805",2.83018867924528
"Census Tract 6806",3.06122448979592
"Census Tract 6809",3.83141762452107
"Census Tract 6810",4.56852791878173
"Census Tract 6811",5.38116591928251
"Census Tract 6812",2.46913580246914
"Census Tract 6813",1.68539325842697
"Census Tract 6814",3.72093023255814
"Census Tract 6903",6.10687022900763
"Census Tract 6904",3.91459074733096
"Census Tract 6905",6.75675675675676
"Census Tract 6909",2.36686390532544
"Census Tract 6910",6.08974358974359
"Census Tract 6911",3.90625
"Census Tract 6912",1.06951871657754
"Census Tract 6913",1.74825174825175
"Census Tract 6914",5.26315789473684
"Census Tract 6915",3.63636363636364
"Census Tract 7001",1.62271805273834
"Census Tract 7002",1.25786163522013
"Census Tract 7003.01",1.29482071713147
"Census Tract 7003.02",1.14613180515759
"Census Tract 7004.01",0.768386388583974
"Census Tract 7004.02",1.85471406491499
"Census Tract 7005.01",0.606060606060606
"Census Tract 7005.02",0.89086859688196
"Census Tract 7101",4.22535211267606
"Census Tract 7102",1.17994100294985
"Census Tract 7103",2.17391304347826
"Census Tract 7104",2.53623188405797
"Census Tract 7105",1.71990171990172
"Census Tract 7106",2.5974025974026
"Census Tract 7107",1.71821305841924
"Census Tract 7108",3.58851674641148
"Census Tract 7109",1.91082802547771
"Census Tract 7110",3.10077519379845
"Census Tract 7111",1.11524163568773
"Census Tract 7112",2.0109689213894
"Census Tract 7113",1.86335403726708
"Census Tract 7114",1.76991150442478
"Census Tract 7115",1.03626943005181
"Census Tract 7201",1.625
"Census Tract 7202",0.536912751677852
"Census Tract 7203",0.922722029988466
"Census Tract 7204",0.239234449760766
"Census Tract 7205",0.423728813559322
"Census Tract 7206",0.943396226415094
"Census Tract 7207",0.784313725490196
"Census Tract 7301",1.8450184501845
"Census Tract 7302.01",2.59515570934256
"Census Tract 7302.02",2.53623188405797
"Census Tract 7303",3.7037037037037
"Census Tract 7304",1.51133501259446
"Census Tract 7305",0.952380952380952
"Census Tract 7306",1.92837465564738
"Census Tract 7307",3.2967032967033
"Census Tract 7401",1.00864553314121
"Census Tract 7402",0.159616919393456
"Census Tract 7403",0.185873605947955
"Census Tract 7404",1.25786163522013
"Census Tract 7501",2.71604938271605
"Census Tract 7502",2.2140221402214
"Census Tract 7503",0.37243947858473
"Census Tract 7504",0.692041522491349
"Census Tract 7505",1.26939351198872
"Census Tract 7506",3.48837209302326
"Census Tract 7608.01",0.436205016357688
"Census Tract 7608.02",0.761904761904762
"Census Tract 7608.03",1.86480186480186
"Census Tract 7702.01",2.33494363929147
"Census Tract 7702.02",1.33444537114262
"Census Tract 7703",1.28048780487805
"Census Tract 7704",0.964630225080386
"Census Tract 7705",1.64765525982256
"Census Tract 7706.01",0.422535211267606
"Census Tract 7706.02",0.332594235033259
"Census Tract 7707",0.194174757281553
"Census Tract 7708",1.43240823634736
"Census Tract 7709.01",0.52128583840139
"Census Tract 7709.02",0.734394124847001
"Census Tract 8001",0.46656298600311
"Census Tract 8002",0.235155790711346
"Census Tract 8003",0.111856823266219
"Census Tract 8004",0.303030303030303
"Census Tract 8005",0.239808153477218
"Census Tract 8006",0.338983050847458
"Census Tract 8007",0.611620795107034
"Census Tract 8008",0.909090909090909
"Census Tract 8009",0.717488789237668
"Census Tract 8010",0.635930047694754
"Census Tract 8011",0.495867768595041
"Census Tract 8012",0.644468313641246
"Census Tract 8013",0.84348641049672
"Census Tract 8014",0.636942675159236
"Census Tract 8015",0.517464424320828
"Census Tract 8016.01",0.335852225020991
"Census Tract 8016.03",0.784313725490196
"Census Tract 8016.05",0.326583932070542
"Census Tract 8016.06",0.390843104410944
"Census Tract 8016.07",0.22189349112426
"Census Tract 8016.08",0.323450134770889
"Census Tract 8017.01",0
"Census Tract 8017.02",0.170357751277683
"Census Tract 8018",0.5273566249176
