"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 810","Cook County","Illinois","5.39%",656,35,363,23,1077,58,5.38532961931291
"Census Tract 811","Cook County","Illinois","4.77%",400,8,159,20,587,28,4.77001703577513
"Census Tract 812.01","Cook County","Illinois","3.59%",800,18,167,18,1003,36,3.58923230309073
"Census Tract 812.02","Cook County","Illinois","3.83%",717,22,86,10,835,32,3.83233532934132
"Census Tract 813","Cook County","Illinois","5.83%",956,47,142,21,1166,68,5.83190394511149
"Census Tract 814.01","Cook County","Illinois","2.33%",374,7,88,4,473,11,2.32558139534884
"Census Tract 814.02","Cook County","Illinois","3.65%",1287,25,323,36,1671,61,3.65050867743866
"Census Tract 814.03","Cook County","Illinois","4.41%",1583,42,518,55,2198,97,4.41310282074613
"Census Tract 815","Cook County","Illinois","4.65%",1037,21,276,43,1377,64,4.6477850399419
"Census Tract 816","Cook County","Illinois","4.59%",525,18,265,20,828,38,4.58937198067633
"Census Tract 817","Cook County","Illinois","3.50%",529,19,409,15,972,34,3.49794238683128
"Census Tract 818","Cook County","Illinois","4.10%",1580,47,921,60,2608,107,4.10276073619632
"Census Tract 819","Cook County","Illinois","6.71%",175,8,103,12,298,20,6.71140939597315
"Census Tract 901","Cook County","Illinois","0.71%",774,4,60,2,840,6,0.714285714285714
"Census Tract 902","Cook County","Illinois","1.42%",1305,13,149,8,1475,21,1.42372881355932
"Census Tract 903","Cook County","Illinois","1.28%",282,0,26,4,312,4,1.28205128205128
"Census Tract 1001","Cook County","Illinois","0.97%",1000,10,126,1,1137,11,0.967458223394899
"Census Tract 1002","Cook County","Illinois","1.36%",1309,13,144,7,1473,20,1.35777325186694
"Census Tract 1003","Cook County","Illinois","1.19%",1176,10,71,5,1262,15,1.18858954041204
"Census Tract 1004","Cook County","Illinois","0.26%",734,1,45,1,781,2,0.256081946222791
"Census Tract 1005","Cook County","Illinois","1.38%",1267,6,89,13,1375,19,1.38181818181818
"Census Tract 1006","Cook County","Illinois","1.12%",969,9,90,3,1071,12,1.12044817927171
"Census Tract 1007","Cook County","Illinois","1.19%",1015,9,62,4,1090,13,1.19266055045872
"Census Tract 1101","Cook County","Illinois","2.26%",1007,22,115,4,1148,26,2.26480836236934
"Census Tract 1102","Cook County","Illinois","2.70%",468,13,73,2,556,15,2.69784172661871
"Census Tract 1103","Cook County","Illinois","1.91%",1028,17,99,5,1149,22,1.91470844212359
"Census Tract 1104","Cook County","Illinois","2.54%",781,14,100,9,904,23,2.54424778761062
"Census Tract 1105.01","Cook County","Illinois","1.40%",891,12,94,2,999,14,1.4014014014014
"Census Tract 1105.02","Cook County","Illinois","3.53%",522,17,106,6,651,23,3.53302611367128
"Census Tract 1201","Cook County","Illinois","1.74%",1048,17,25,2,1092,19,1.73992673992674
"Census Tract 1202","Cook County","Illinois","1.14%",1074,8,58,5,1145,13,1.1353711790393
"Census Tract 1203","Cook County","Illinois","1.82%",1561,21,54,9,1645,30,1.82370820668693
"Census Tract 1204","Cook County","Illinois","3.14%",670,19,70,5,764,24,3.1413612565445
"Census Tract 1301","Cook County","Illinois","1.85%",919,10,34,8,971,18,1.85375901132853
"Census Tract 1302","Cook County","Illinois","3.28%",274,4,21,6,305,10,3.27868852459016
"Census Tract 1303","Cook County","Illinois","3.24%",888,18,68,14,988,32,3.23886639676113
"Census Tract 1401","Cook County","Illinois","4.50%",447,11,126,16,600,27,4.5
"Census Tract 1402","Cook County","Illinois","4.38%",622,24,164,12,822,36,4.37956204379562
"Census Tract 1403.01","Cook County","Illinois","1.86%",396,7,79,2,484,9,1.8595041322314
"Census Tract 1403.02","Cook County","Illinois","4.18%",568,17,97,12,694,29,4.17867435158501
"Census Tract 1404","Cook County","Illinois","2.45%",1108,24,124,7,1263,31,2.45447347585115
"Census Tract 1405","Cook County","Illinois","3.70%",517,19,81,4,621,23,3.7037037037037
"Census Tract 1406.01","Cook County","Illinois","3.48%",375,7,41,8,431,15,3.48027842227378
"Census Tract 1406.02","Cook County","Illinois","4.61%",643,30,144,8,825,38,4.60606060606061
"Census Tract 1407.01","Cook County","Illinois","5.98%",356,9,84,19,468,28,5.98290598290598
"Census Tract 1407.02","Cook County","Illinois","4.94%",753,27,189,22,991,49,4.94450050454087
